Vehicle Name,Rate,Destination,UpdatedDate
PICK UP,6500,Mumbai,15/04/2022
PICK UP,5600,Kalamboli,15/04/2022
PICK UP,8000,wada,15/04/2022
PICK UP,5800,Navi Mumbai,15/04/2022
PICK UP,3300,Pune,15/04/2022
PICK UP,6900,Kurakumbh,15/04/2022
PICK UP,6900,Ahmednagar,15/04/2022
PICK UP,6300,Patalganga,15/04/2022
PICK UP,5400,Sahajpur,15/04/2022
PICK UP,17400,Nagpur,15/04/2022
PICK UP,4600,Pirangut,15/04/2022
PICK UP,18200,Akola,15/04/2022
PICK UP,8100,Nasik,15/04/2022
PICK UP,4600,Khopoli,15/04/2022
PICK UP,6800,Ambernath,15/04/2022
PICK UP,6800,Roha,15/04/2022
PICK UP,4900,Wai,15/04/2022
PICK UP,7500,BARAMATI,15/04/2022
PICK UP,3600,Dhayari (Pune),15/04/2022
PICK UP,4900,Khalapur,15/04/2022
PICK UP,4100,Manchar,15/04/2022
PICK UP,2700,Bhosari/pimpri,15/04/2022
Tempo-407,8000,Mumbai,15/04/2022
Tempo-407,6700,Kalamboli,15/04/2022
Tempo-407,9700,Valsad,15/04/2022
Tempo-407,6500,Navi Mumbai,15/04/2022
Tempo-407,8000,Silvasa,15/04/2022
Tempo-407,8000,Vapi,15/04/2022
Tempo-407,7900,Kurakumbh,15/04/2022
Tempo-407,8000,Daman,15/04/2022
Tempo-407,7600,Ahmednagar,15/04/2022
Tempo-407,7000,Patalganga,15/04/2022
Tempo-407,6700,Sahajpur,15/04/2022
Tempo-407,5900,Pirangut,15/04/2022
Tempo-407,8500,Nasik,15/04/2022
Tempo-407,5400,Khopoli,15/04/2022
Tempo-407,7400,Ambernath,15/04/2022
Tempo-407,7500,Roha,15/04/2022
Tempo-407,8500,"Silvasa, Castrol",15/04/2022
Tempo-407,5700,Khalapur,15/04/2022
Tempo-407,7400,Manchar,15/04/2022
LCV-709,9900,Mumbai,15/04/2022
LCV-709,7200,Kalamboli,15/04/2022
LCV-709,8500,wada,15/04/2022
LCV-709,10300,Valsad,15/04/2022
LCV-709,20200,Mehsana,15/04/2022
LCV-709,7500,Navi Mumbai,15/04/2022
LCV-709,8500,Silvasa,15/04/2022
LCV-709,8700,Vapi,15/04/2022
LCV-709,8400,Kurakumbh,15/04/2022
LCV-709,8500,Daman,15/04/2022
LCV-709,8800,Ahmednagar,15/04/2022
LCV-709,7500,Patalganga,15/04/2022
LCV-709,7200,Sahajpur,15/04/2022
LCV-709,26100,Morbi,15/04/2022
LCV-709,6600,Pirangut,15/04/2022
LCV-709,15300,Bharuch,15/04/2022
LCV-709,8500,Nasik,15/04/2022
LCV-709,6900,Khopoli,15/04/2022
LCV-709,8000,Ambernath,15/04/2022
LCV-709,8300,Roha,15/04/2022
LCV-709,6800,Wai,15/04/2022
LCV-709,8500,BARAMATI,15/04/2022
LCV-709,9200,"Silvasa, Castrol",15/04/2022
LCV-709,6800,Khalapur,15/04/2022
LCV-709,7400,Manchar,15/04/2022
LCV-709,15800,Dahej,15/04/2022
