Vehicle Name,Rate,Destination,UpdatedDate
LCL,0, Sangamner,02/04/2022
PICK UP,0, Sangamner,02/04/2022
Tempo-407,0, Sangamner,02/04/2022
LCV-709,0, Sangamner,02/04/2022
LCV-17 Ft.,0, Sangamner,02/04/2022
Truck-19 Ft.,0, Sangamner,02/04/2022
Cont.-19 Ft.,0, Sangamner,02/04/2022
Cont.-20 Ft.,0, Sangamner,02/04/2022
Cont.-32 Ft.,0, Sangamner,02/04/2022
Cont.-32 Ft.9,0, Sangamner,02/04/2022
LCL,0, Secunderabad,02/04/2022
PICK UP,0, Secunderabad,02/04/2022
Tempo-407,0, Secunderabad,02/04/2022
LCV-709,0, Secunderabad,02/04/2022
LCV-17 Ft.,0, Secunderabad,02/04/2022
Truck-19 Ft.,0, Secunderabad,02/04/2022
Cont.-19 Ft.,0, Secunderabad,02/04/2022
Cont.-20 Ft.,0, Secunderabad,02/04/2022
Cont.-32 Ft.,0, Secunderabad,02/04/2022
Cont.-32 Ft.9,0, Secunderabad,02/04/2022
LCL,0,1075 Riyad El solh,02/04/2022
Export 20 ft,0,1075 Riyad El solh,02/04/2022
Export 40 ft,0,1075 Riyad El solh,02/04/2022
LCL,0,1585877814 TEHRAN/IRAN,02/04/2022
Export 20 ft,0,1585877814 TEHRAN/IRAN,02/04/2022
Export 40 ft,0,1585877814 TEHRAN/IRAN,02/04/2022
LCL,0,2555 BRUGG,02/04/2022
Export 20 ft,0,2555 BRUGG,02/04/2022
Export 40 ft,0,2555 BRUGG,02/04/2022
LCL,0,6th October City,02/04/2022
Export 20 ft,0,6th October City,02/04/2022
Export 40 ft,0,6th October City,02/04/2022
LCL,0,Agra,02/04/2022
PICK UP,0,Agra,02/04/2022
Tempo-407,0,Agra,02/04/2022
LCV-709,0,Agra,02/04/2022
LCV-17 Ft.,0,Agra,02/04/2022
Truck-19 Ft.,0,Agra,02/04/2022
Cont.-32 Ft.9,0,Agra,02/04/2022
LCL,0,Ahmedabad,02/04/2022
PICK UP,0,Ahmedabad,02/04/2022
Tempo-407,0,Ahmedabad,02/04/2022
LCV-709,0,Ahmedabad,02/04/2022
Cont.-32 Ft.9,0,Ahmedabad,02/04/2022
LCL,0,Ahmednagar,02/04/2022
Cont.-32 Ft.,0,Ahmednagar,02/04/2022
Cont.-32 Ft.9,0,Ahmednagar,02/04/2022
LCL,0,Akola,02/04/2022
Tempo-407,0,Akola,02/04/2022
LCV-709,0,Akola,02/04/2022
Cont.-32 Ft.,0,Akola,02/04/2022
Cont.-32 Ft.9,0,Akola,02/04/2022
LCL,0,Aligrah,02/04/2022
PICK UP,0,Aligrah,02/04/2022
