Vehicle Name,Rate,Destination,UpdatedDate
Cont.-19 Ft.,50300,Agra,01/01/2022
Cont.-20 Ft.,51500,Agra,01/01/2022
Cont.-32 Ft.,65500,Agra,01/01/2022
LCV-17 Ft.,17500,Ahmedabad,01/01/2022
Truck-19 Ft.,19500,Ahmedabad,01/01/2022
Cont.-19 Ft.,23400,Ahmedabad,01/01/2022
Cont.-20 Ft.,25200,Ahmedabad,01/01/2022
Cont.-32 Ft.,35900,Ahmedabad,01/01/2022
PICK UP,6600,Ahmednagar,01/01/2022
Tempo-407,7300,Ahmednagar,01/01/2022
LCV-709,8500,Ahmednagar,01/01/2022
LCV-17 Ft.,9300,Ahmednagar,01/01/2022
Truck-19 Ft.,10200,Ahmednagar,01/01/2022
Cont.-19 Ft.,10900,Ahmednagar,01/01/2022
Cont.-20 Ft.,12500,Ahmednagar,01/01/2022
PICK UP,17500,Akola,01/01/2022
LCV-17 Ft.,19300,Akola,01/01/2022
Truck-19 Ft.,20300,Akola,01/01/2022
Cont.-19 Ft.,27000,Akola,01/01/2022
Cont.-20 Ft.,29600,Akola,01/01/2022
Cont.-19 Ft.,39500,Alwar,01/01/2022
Cont.-20 Ft.,41500,Alwar,01/01/2022
Cont.-19 Ft.,50500,Ambala,01/01/2022
Cont.-20 Ft.,53500,Ambala,01/01/2022
Cont.-32 Ft.,68700,Ambala,01/01/2022
Cont.-32 Ft.9,78000,Ambala,01/01/2022
PICK UP,6500,Ambernath,01/01/2022
Tempo-407,7100,Ambernath,01/01/2022
LCV-709,7700,Ambernath,01/01/2022
LCV-17 Ft.,8700,Ambernath,01/01/2022
Truck-19 Ft.,9300,Ambernath,01/01/2022
Cont.-19 Ft.,11400,Ambernath,01/01/2022
Cont.-20 Ft.,12500,Ambernath,01/01/2022
LCV-17 Ft.,13300,Aurangabad,01/01/2022
Truck-19 Ft.,14200,Aurangabad,01/01/2022
Cont.-19 Ft.,18200,Aurangabad,01/01/2022
Cont.-20 Ft.,19800,Aurangabad,01/01/2022
Cont.-19 Ft.,49700,Bahadurgarh,01/01/2022
Cont.-20 Ft.,50700,Bahadurgarh,01/01/2022
Cont.-32 Ft.,62000,Bahadurgarh,01/01/2022
Cont.-19 Ft.,63000,Barabanki,01/01/2022
Cont.-20 Ft.,64600,Barabanki,01/01/2022
Cont.-32 Ft.,76300,Barabanki,01/01/2022
Cont.-32 Ft.9,83000,Barabanki,01/01/2022
PICK UP,7200,BARAMATI,01/01/2022
LCV-709,8200,BARAMATI,01/01/2022
LCV-17 Ft.,9000,BARAMATI,01/01/2022
Truck-19 Ft.,10600,BARAMATI,01/01/2022
Cont.-19 Ft.,11600,BARAMATI,01/01/2022
Cont.-20 Ft.,12100,BARAMATI,01/01/2022
Cont.-19 Ft.,47200,Bharatpur,01/01/2022
Cont.-20 Ft.,49500,Bharatpur,01/01/2022
LCV-709,14700,Bharuch,01/01/2022
LCV-17 Ft.,15700,Bharuch,01/01/2022
Truck-19 Ft.,17000,Bharuch,01/01/2022
Cont.-19 Ft.,19800,Bharuch,01/01/2022
Cont.-20 Ft.,22600,Bharuch,01/01/2022
Cont.-32 Ft.,30800,Bharuch,01/01/2022
Cont.-19 Ft.,42900,Bhiwadi,01/01/2022
Cont.-20 Ft.,44400,Bhiwadi,01/01/2022
Cont.-20 Ft.,37800,Bhopal,01/01/2022
PICK UP,2600,Bhosari/pimpri,01/01/2022
Cont.-19 Ft.,30300,Bidadi,01/01/2022
Cont.-20 Ft.,30800,Bidadi,01/01/2022
Cont.-32 Ft.,48200,Bidadi,01/01/2022
Cont.-32 Ft.9,54400,Bidadi,01/01/2022
