Vehicle Name,Rate,Destination,UpdatedDate
LCL,0,Agra,01/04/2022
LCL,0,Ahmedabad,01/04/2022
LCL,0,Ahmednagar,01/04/2022
LCL,0,Akola,01/04/2022
LCL,0,Aligrah,01/04/2022
LCL,0,Aluva,01/04/2022
LCL,0,Alwar,01/04/2022
LCL,0,Ambala,01/04/2022
LCL,0,Ambernath,01/04/2022
LCL,0,AMMAN,01/04/2022
LCL,0,Amritsar,01/04/2022
LCL,0,Andaman Islands,01/04/2022
LCL,0,Andra Pradesh,01/04/2022
LCL,0,At Aslali,01/04/2022
LCL,0,Atlanta GA,01/04/2022
LCL,0,Aurangabad,01/04/2022
LCL,0,Australia,01/04/2022
LCL,0,Badarpura,01/04/2022
LCL,0,Baddi,01/04/2022
LCL,0,"BAGRU(EXTN.), BAGRU",01/04/2022
LCL,0,Bahadurgarh,01/04/2022
LCL,0,"BAHALGARH, SONIPAT",01/04/2022
LCL,0,"Bandar Indahpura, Kulaijaya, Johor",01/04/2022
LCL,0,BANGLADESH,01/04/2022
LCL,0,Banten,01/04/2022
LCL,0,Barabanki,01/04/2022
LCL,0,BARAMATI,01/04/2022
LCL,0,Barcelona,01/04/2022
LCL,0,Barelly,01/04/2022
LCL,0,Baroda,01/04/2022
LCL,0,Bawana Industrial Area,01/04/2022
LCL,0,Bazpur,01/04/2022
LCL,0,Bellary,01/04/2022
LCL,0,Bhachau,01/04/2022
LCL,0,Bharatpur,01/04/2022
LCL,0,Bharuch,01/04/2022
LCL,0,Bhiwadi,01/04/2022
LCL,0,Bhopal,01/04/2022
LCL,0,Bhosari/pimpri,01/04/2022
LCL,0,Bhubaneshwar,01/04/2022
LCL,0,Bibvewadi,01/04/2022
LCL,0,Bidadi,01/04/2022
LCL,0,Bilaspur,01/04/2022
LCL,0,Budenheim,01/04/2022
LCL,0,Bulandshahar,01/04/2022
LCL,0,Bundi,01/04/2022
LCL,0,CALICUT,01/04/2022
LCL,0,CHAD,01/04/2022
LCL,0,Chandigarh,01/04/2022
LCL,0,Chandrapur,01/04/2022
LCL,0,Changodar,01/04/2022
LCL,0,Channarayapatna,01/04/2022
LCL,0,Chennai,01/04/2022
LCL,0,Chhibramau,01/04/2022
LCL,0,CHHINDWARA,01/04/2022
LCL,0,Chitradurga,01/04/2022
LCL,0,Chittore,01/04/2022
LCL,0,Coimbatore,01/04/2022
LCL,0,Colombo,01/04/2022
LCL,0,Cuttack,01/04/2022
LCL,0,Dahej,01/04/2022
LCL,0,Daman,01/04/2022
LCL,0,Dar Es Salaam,01/04/2022
LCL,0,Dasna,01/04/2022
LCL,0,Dehradun,01/04/2022
LCL,0,Delhi,01/04/2022
LCL,0,Dhamtari,01/04/2022
LCL,0,"Dhar, Madhya pradesh",01/04/2022
LCL,0,DHARWAD,01/04/2022
LCL,0,Dhayari (Pune),01/04/2022
LCL,0,Dholpur,01/04/2022
LCL,0,Dhuri,01/04/2022
LCL,0,Dist - Kurukshetra  Haryana,01/04/2022
LCL,0,DUBAI,01/04/2022
LCL,0,"Durban, South Africa",01/04/2022
LCL,0,East Godavari,01/04/2022
LCL,0,"El Maadi, Cairo",01/04/2022
LCL,0,Ernakulam,01/04/2022
LCL,0,ERODE,01/04/2022
LCL,0,Faizabad,01/04/2022
LCL,0,Faridabad,01/04/2022
LCL,0,"FAZILKA,FEROZEPUR",01/04/2022
LCL,0,Fiji,01/04/2022
LCL,0,Gandhidham,01/04/2022
LCL,0,Gandhinagar,01/04/2022
LCL,0,Gangaikondam,01/04/2022
LCL,0,Gautambudh Nagar,01/04/2022
LCL,0,Gaziyabad,01/04/2022
LCL,0,"Gebze, Kocaeli",01/04/2022
LCL,0,Goa,01/04/2022
LCL,0,Goblej,01/04/2022
LCL,0,Godhara,01/04/2022
LCL,0,Gondal ,01/04/2022
LCL,0,"GUEDIAWAYE,  DAKAR",01/04/2022
LCL,0,Gulbarga,01/04/2022
LCL,0,Gummidipoondi,01/04/2022
LCL,0,Guntur,01/04/2022
LCL,0,Gurgaon,01/04/2022
LCL,0,Guwahati,01/04/2022
LCL,0,Ha Noi,01/04/2022
LCL,0,Hapur,01/04/2022
LCL,0,Haridwar,01/04/2022
LCL,0,Haryana,01/04/2022
LCL,0,Hathras,01/04/2022
LCL,0,Himjal,01/04/2022
LCL,0,Himmatnagar,01/04/2022
LCL,0,Hiriyur,01/04/2022
LCL,0,Hisar,01/04/2022
LCL,0,Ho Chi Minh City,01/04/2022
LCL,0,Hoshiarpur,01/04/2022
LCL,0,Hosur,01/04/2022
LCL,0,Hubli,01/04/2022
LCL,0,HUNGARY,01/04/2022
LCL,0,Hyderabad,01/04/2022
LCL,0,Indonesia,01/04/2022
LCL,0,Indore,01/04/2022
LCL,0,Iran,01/04/2022
LCL,0,Iraq,01/04/2022
LCL,0,ITALY,01/04/2022
LCL,0,Jabalpur,01/04/2022
LCL,0,"Jagatpur , Cuttack",01/04/2022
LCL,0,Jaipur,01/04/2022
LCL,0,JAKARTA,01/04/2022
LCL,0,Jalandhar,01/04/2022
LCL,0,Jalgaon,01/04/2022
LCL,0,JALNA,01/04/2022
LCL,0,Jammu,01/04/2022
LCL,0,Jaysingpur,01/04/2022
LCL,0,JEDDAH,01/04/2022
LCL,0,Jhansi,01/04/2022
LCL,0,"Jharmajr, Baddi",01/04/2022
LCL,0,Jind,01/04/2022
LCL,0,Jodhpur,01/04/2022
LCL,0,"JP Nagar, Reva, M.P.",01/04/2022
LCL,0,Junction. PERUNDURAI,01/04/2022
LCL,0,Junnagadh,01/04/2022
LCL,0,Kabul,01/04/2022
LCL,0,Kadapa,01/04/2022
LCL,0,Kaddodra,01/04/2022
LCL,0,Kakinada,01/04/2022
LCL,0,Kalamboli,01/04/2022
LCL,0,Kampala,01/04/2022
LCL,0,Kamrup,01/04/2022
LCL,0,Kanchipuram,01/04/2022
LCL,0,Kandla - 06,01/04/2022
LCL,0,Kangayam,01/04/2022
LCL,0,Kangra,01/04/2022
LCL,0,Kannauj,01/04/2022
LCL,0,Kanpur,01/04/2022
LCL,0,Kapurthala,01/04/2022
LCL,0,Karad,01/04/2022
LCL,0,Karnal,01/04/2022
LCL,0,Karur,01/04/2022
LCL,0,Karwar,01/04/2022
LCL,0,Kerala,01/04/2022
LCL,0,Khalapur,01/04/2022
LCL,0,Khandelia,01/04/2022
LCL,0,Khopoli,01/04/2022
LCL,0,Khurda,01/04/2022
LCL,0,Kolhapur,01/04/2022
LCL,0,Kolkata,01/04/2022
LCL,0,Koppal,01/04/2022
LCL,0,Kota,01/04/2022
LCL,0,Kothamangalam,01/04/2022
LCL,0,Kundli,01/04/2022
LCL,0,KUNSHAN CITY,01/04/2022
LCL,0,Kurakumbh,01/04/2022
LCL,0,Kurnool,01/04/2022
LCL,0,La Roca del Valles,01/04/2022
LCL,0,Latur ,01/04/2022
LCL,0,LE HAVRE CEDEX,01/04/2022
LCL,0,Lucknow,01/04/2022
LCL,0,Ludhiana,01/04/2022
LCL,0,Madurai,01/04/2022
LCL,0,Mahaboob Nagar,01/04/2022
LCL,0,Malaysia,01/04/2022
LCL,0,Male,01/04/2022
LCL,0,Malerkotla,01/04/2022
LCL,0,Malur,01/04/2022
LCL,0,Manchar,01/04/2022
LCL,0,Mandi,01/04/2022
LCL,0,Manglore,01/04/2022
LCL,0,"Mapusa, Goa",01/04/2022
LCL,0,Mathura,01/04/2022
LCL,0,Mau,01/04/2022
LCL,0,Meerut,01/04/2022
LCL,0,Mehsana,01/04/2022
LCL,0,Mohali,01/04/2022
LCL,0,Morbi,01/04/2022
LCL,0,Morena,01/04/2022
LCL,0,Mozambique,01/04/2022
LCL,0,Muktsar,01/04/2022
LCL,0,Mumbai,01/04/2022
LCL,0,"Murthal, Sonepat",01/04/2022
LCL,0,Muzaffarnagar,01/04/2022
LCL,0,Mysore,01/04/2022
LCL,0,Nagpur,01/04/2022
LCL,0,Nalgonda,01/04/2022
LCL,0,Nallasopar (East),01/04/2022
LCL,0,Nasik,01/04/2022
LCL,0,Navi Mumbai,01/04/2022
LCL,0,Navsari,01/04/2022
LCL,0,Neemrana,01/04/2022
LCL,0,Nelamangala,01/04/2022
LCL,0,Nepal,01/04/2022
LCL,0,NEW MANAGALORE,01/04/2022
LCL,0,Noida,01/04/2022
LCL,0,Osmanabad,01/04/2022
LCL,0,Paithan,01/04/2022
LCL,0,Palakkad,01/04/2022
LCL,0,Palani TK,01/04/2022
LCL,0,Palwal,01/04/2022
LCL,0,"Panadura, Sri Lanka",01/04/2022
LCL,0,Panipat,01/04/2022
LCL,0,Pannipitiya,01/04/2022
LCL,0,Panoli,01/04/2022
LCL,0,Paradeep,01/04/2022
LCL,0,Parakkadavu,01/04/2022
LCL,0,Pardi,01/04/2022
LCL,0,Patalganga,01/04/2022
LCL,0,Patan,01/04/2022
LCL,0,Pathankot,01/04/2022
LCL,0,Patna,01/04/2022
LCL,0,Pazhayakayal,01/04/2022
LCL,0,Pelabuhan Klang,01/04/2022
LCL,0,Periyakulam,01/04/2022
LCL,0,Phuentsholing,01/04/2022
LCL,0,Pindora,01/04/2022
LCL,0,Pirangut,01/04/2022
LCL,0,Pitampur,01/04/2022
LCL,0,Pollachi,01/04/2022
LCL,0,PONDICHERRY,01/04/2022
LCL,0,Pondy,01/04/2022
LCL,0,Ponta Sahib HP,01/04/2022
LCL,0,Pune,01/04/2022
LCL,0,Rai,01/04/2022
LCL,0,Raichur,01/04/2022
LCL,0,Raipur,01/04/2022
LCL,0,Rajagiriya,01/04/2022
LCL,0,Rajapalem,01/04/2022
LCL,0,Rajkot,01/04/2022
LCL,0,RAJNANDGAON,01/04/2022
LCL,0,Rajpura ,01/04/2022
LCL,0,Ramabai Nagar,01/04/2022
LCL,0,Ramnagar,01/04/2022
LCL,0,Ranchi,01/04/2022
LCL,0,Ranga Reddy,01/04/2022
