Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300050958,16/08/2022,IN202222126,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134210362,TSV 40 PV LS <NAT/RED 22103 (1356),1342111,TSV 40-2 PV LSP,"204,000",240,0.00,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2804,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,Cont.-19 Ft.,MH14GD7385
7300050959,16/08/2022,IN202222127,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059117,SK40/24 PV6<IHS *CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"100,500",67,0.00,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0743,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,Cont.-20 Ft.,MH14HG9279
7300050959,16/08/2022,IN202222127,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059102,SK40/24 PV6<IHS-RS.10/-*CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"300,000",200,0.00,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0743,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,Cont.-20 Ft.,MH14HG9279
7300050960,16/08/2022,IN202222128,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059110,"SK40/24 PV6<IHS *CASTROL*M GREEN PKT3,6",1340591,SK 40/24 PV6 IHS CASTROL,"75,000",50,0.00,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2805,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,PICK UP,MH14DM1572
7300050960,16/08/2022,IN202222128,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134050975,SK 40/24 PV6<GTX ULTRA CASTROL37.5/2 BLK,1340591,SK 40/24 PV6 IHS CASTROL,"12,000",8,0.00,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2805,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,PICK UP,MH14DM1572
7300050960,16/08/2022,IN202222128,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059118,SK40/24 PV6<IHS POWER1 RS20*CASTROL*RED,1340591,SK 40/24 PV6 IHS CASTROL,"7,500",5,0.00,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2805,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,PICK UP,MH14DM1572
7300050961,16/08/2022,IN202222129,9005459,BHARATIYAM FOODS & BEVERAGES PVT LT,Bidadi,1012973,HINDUSTAN COCA-COLA BEVERAGES PVT L,Bidadi Hobli,172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,Bidadi Hobli,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL59327,Karnataka,Karnataka,29AAACH3005M1ZN,29AABCB6746L1Z8,Cont.-20 Ft.,KA05AJ8989
7300050962,16/08/2022,IN202222130,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134053016,SK40/24 PV6<IHS *SUZUKI* BLUE 0180,1340591,SK 40/24 PV6 IHS CASTROL,"100,500",67,0.00,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0744,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,Cont.-19 Ft.,MH14HU9558
7300050962,16/08/2022,IN202222130,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134059110,"SK40/24 PV6<IHS *CASTROL*M GREEN PKT3,6",1340591,SK 40/24 PV6 IHS CASTROL,"3,000",2,0.00,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0744,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,Cont.-19 Ft.,MH14HU9558
7300050962,16/08/2022,IN202222130,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134059117,SK40/24 PV6<IHS *CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"100,500",67,0.00,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0744,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,Cont.-19 Ft.,MH14HU9558
