Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes, Freight Aft .ST ,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300050284,29/06/2022,IN202221507,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,wada,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,Wada,170850197,DS SUS 28/16 7085 SFB <BLU*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"1,100,000",220,0,Wada,IN,CIF,17587,N P TRANSPORT,NP0584,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,Cont.-19 Ft.,MH14EM8919
7300050285,29/06/2022,IN202221508,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,wada,97300089,Hindustan Coca Cola Bev. Pvt. Ltd.,Wada,170850198,DS SUS 28/16 7085 SFB<BLCK*COCACOLA EMB*,1708502,DS SUS 28/16 7085 SFB 1 COL PR,"100,000",20,0,Wada,IN,CIF,17587,N P TRANSPORT,NP0584,Maharashtra,Maharashtra,27AAACH3005M1ZR,27AAACH3005M1ZR,Cont.-19 Ft.,MH14EM8919
7300050286,29/06/2022,IN202221509,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134050964,SK 40/24 PV 5<IHS 37.5/2 BLACK4174,1340590,SK 40/24 PV5 IHS,"9,000",6,0,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2651,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,LCV-709,MH12FD8666
7300050286,29/06/2022,IN202221509,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059110,"SK40/24 PV6<IHS *CASTROL*M GREEN PKT3,6",1340591,SK 40/24 PV6 IHS CASTROL,"43,500",29,0,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2651,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,LCV-709,MH12FD8666
7300050286,29/06/2022,IN202221509,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059113,"SK40/24 PV6<IHS*CASTROL*SILV/GREY PKT3,6",1340591,SK 40/24 PV6 IHS CASTROL,"10,500",7,0,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2651,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,LCV-709,MH12FD8666
7300050286,29/06/2022,IN202221509,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059117,SK40/24 PV6<IHS *CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"120,000",80,0,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2651,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,LCV-709,MH12FD8666
7300050286,29/06/2022,IN202221509,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059122,SK40/24 PV6<IHS RS 50 *CASTROL*RED POWE1,1340591,SK 40/24 PV6 IHS CASTROL,"6,000",4,0,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2651,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,LCV-709,MH12FD8666
7300050286,29/06/2022,IN202221509,1007565,Castrol India Limited,Patalganga,1007565,Castrol India Limited,Patalganga,134059123,SK40/24 PV6<IHS POWER1 CRBMin *CASTR*RED,1340591,SK 40/24 PV6 IHS CASTROL,"21,000",14,0,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2651,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACC4481E1ZV,LCV-709,MH12FD8666
7300050287,29/06/2022,IN202221510,9008183,AGRO PACK WH,Dahej,1018329,Adama India Private Limited,Bharuch,134620104,SK 40/23 SFB CUT <IHS ADAMA BLUE 2311,1346201,SK 40/23 SFB CUT IHS - ADAMA,"30,600",18,0,Bharuch,IN,CIF,17587,N P TRANSPORT,NP0582,Gujarat,Gujarat,24AABCM8797N1ZO,,Cont.-20 Ft.,MH14JL9558
7300050287,29/06/2022,IN202221510,9008183,AGRO PACK WH,Dahej,1018329,Adama India Private Limited,Bharuch,134620102,SK 40/23 SFB CUT <IHS ADAMA GREEN 1821,1346201,SK 40/23 SFB CUT IHS - ADAMA,"479,400",282,0,Bharuch,IN,CIF,17587,N P TRANSPORT,NP0582,Gujarat,Gujarat,24AABCM8797N1ZO,,Cont.-20 Ft.,MH14JL9558
