Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300047581,28/01/2022,IN202124071,1011887,Castrol India Limited,"Silvasa, Castrol",1011887,Castrol India Limited,Silvassa,134059123,SK40/24 PV6<IHS POWER1 CRBMin *CASTR*RED,1340591,SK 40/24 PV6 IHS CASTROL,"28,500",19,0,Silvassa,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103543,DNH & Daman & Diu,DNH & Daman & Diu,26AAACC4481E1ZX,26AAACC4481E1ZX,LCV-17 Ft.,DN09U9274
7300047581,28/01/2022,IN202124071,1011887,Castrol India Limited,"Silvasa, Castrol",1011887,Castrol India Limited,Silvassa,134059117,SK40/24 PV6<IHS *CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"112,500",75,0,Silvassa,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103543,DNH & Daman & Diu,DNH & Daman & Diu,26AAACC4481E1ZX,26AAACC4481E1ZX,LCV-17 Ft.,DN09U9274
7300047581,28/01/2022,IN202124071,1011887,Castrol India Limited,"Silvasa, Castrol",1011887,Castrol India Limited,Silvassa,134050964,SK 40/24 PV 5<IHS 37.5/2 BLACK4174,1340590,SK 40/24 PV5 IHS,"15,000",10,0,Silvassa,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103543,DNH & Daman & Diu,DNH & Daman & Diu,26AAACC4481E1ZX,26AAACC4481E1ZX,LCV-17 Ft.,DN09U9274
7300047581,28/01/2022,IN202124071,1011887,Castrol India Limited,"Silvasa, Castrol",1011887,Castrol India Limited,Silvassa,134059111,"SK40/24 PV6<IHS *CASTROL*B WHITE PKT3,6",1340591,SK 40/24 PV6 IHS CASTROL,"4,500",3,0,Silvassa,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103543,DNH & Daman & Diu,DNH & Daman & Diu,26AAACC4481E1ZX,26AAACC4481E1ZX,LCV-17 Ft.,DN09U9274
7300047581,28/01/2022,IN202124071,1011887,Castrol India Limited,"Silvasa, Castrol",1011887,Castrol India Limited,Silvassa,134059102,SK40/24 PV6<IHS-RS.10/-*CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"93,000",62,0,Silvassa,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2103543,DNH & Daman & Diu,DNH & Daman & Diu,26AAACC4481E1ZX,26AAACC4481E1ZX,LCV-17 Ft.,DN09U9274
7300047428,17/01/2022,IN202123927,97300225,Gandharoil Refinery India Ltd.,Silvasa,97300225,Gandharoil Refinery India Ltd.,Silvassa,133060985,SK 38/23 PV <GANDHAR* IHS GANDH RED 0036,1330603,SK 38/23 PV IHS,"201,600",133,"8,200.00",Silvassa,IN,CPT,14308,AbhiImpact Logistic Solutions P.Ltd,AB2102297,DNH & Daman & Diu,DNH & Daman & Diu,26AAACG3996J1Z8,26AAACG3996J1Z8,LCV-17 Ft.,DD01A9371
7300047429,17/01/2022,IN202123928,1011888,Standard Greases & Spec. Pvt  Ltd.,"Silvasa, Castrol",1011887,Castrol India Limited,Silvassa,134059117,SK40/24 PV6<IHS *CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"100,500",67,0,Silvassa,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2102297,DNH & Daman & Diu,DNH & Daman & Diu,26AAACC4481E1ZX,26AALCS2136B1ZO,LCV-17 Ft.,DD01A9371
7300047325,11/01/2022,IN202123827,1013930,GEMINI EDIBLES & FATS INDIA LTD,NELLORE,1013930,GEMINI EDIBLES & FATS INDIA LTD,"SRI POTTI SRI RAMULU, NELLORE",133060983,SK 38/23 PV <IHS-CB/PET/PE YELLOW 0041,1330603,SK 38/23 PV IHS,"156,600",87,0,"SRI POTTI SRI RAMULU, NEL",IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2102061,ANDHRA PRADESH,ANDHRA PRADESH,37AADCG5150F1ZT,37AADCG5150F1ZT,Cont.-19 Ft.,MH04HD3864
7300047326,11/01/2022,IN202123828,1013930,GEMINI EDIBLES & FATS INDIA LTD,NELLORE,1013930,GEMINI EDIBLES & FATS INDIA LTD,"SRI POTTI SRI RAMULU, NELLORE",152220308,EV 21/20 MAG YELLOW / YELLOW 0041,1520201,EV 21/20  MAG (7740),"501,600",132,0,"SRI POTTI SRI RAMULU, NEL",IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2102061,ANDHRA PRADESH,ANDHRA PRADESH,37AADCG5150F1ZT,37AADCG5150F1ZT,Cont.-19 Ft.,MH04HD3864
7300047210,05/01/2022,IN202123716,97300105,Kaleesuwari Refinery Pvt Ltd.,Chennai,97300105,Kaleesuwari Refinery Pvt Ltd.,Chennai,116310444,BERG SPOUT 42 ECCO< RED 0036*GOLD WINNER,1163201,BERG SPOUT 42 ECO,"65,600",41,0,Chennai,IN,CIF,14046,Oms Logistics Private Limited,O52454,Tamil Nadu,Tamil Nadu,33AAACK6087A1ZW,33AAACK6087A1ZW,Cont.-19 Ft.,KA22D4250
7300047211,05/01/2022,IN202123717,97300105,Kaleesuwari Refinery Pvt Ltd.,Chennai,97300105,Kaleesuwari Refinery Pvt Ltd.,Chennai,133060811,SK 38/23 PV <IHS/CB/PET/PE LGGOLD,1330603,SK 38/23 PV IHS,"237,600",132,0,Chennai,IN,CIF,14046,Oms Logistics Private Limited,O52454,Tamil Nadu,Tamil Nadu,33AAACK6087A1ZW,33AAACK6087A1ZW,Cont.-19 Ft.,KA22D4250
