Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300050937,12/08/2022,IN202222105,1017071,Weener Empire Plastics Pvt. Ltd.,BARAMATI,1017071,Weener Empire Plastics Pvt. Ltd.,"Baramati, Pune",152220314,EV 21/20 MAG GREEN/GREEN 1152 (2F),1520201,EV 21/20  MAG (7740),"102,600",27,0,"Baramati, Pune",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2802,Maharashtra,Maharashtra,27AAACE5238K1ZJ,27AAACE5238K1ZJ,PICK UP,MH14HU5295
7300050938,12/08/2022,IN202222106,1017071,Weener Empire Plastics Pvt. Ltd.,BARAMATI,1017071,Weener Empire Plastics Pvt. Ltd.,"Baramati, Pune",152220309,EV 21/20 MAG BROWN / BROWN 0083  (2F),1520201,EV 21/20  MAG (7740),"38,000",10,0,"Baramati, Pune",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2802,Maharashtra,Maharashtra,27AAACE5238K1ZJ,27AAACE5238K1ZJ,PICK UP,MH14HU5295
7300050912,11/08/2022,IN202222082,1012127,GULF OIL LUBRICANTS INDIA LIMITED,Silvasa,1012127,GULF OIL LUBRICANTS INDIA LIMITED,SILVASSA,133066843,SK 38/23 SFB <RS.15 *GULF* SILR3407120,1330665,SK 38/23 SFB IHS,"259,200",144,0,SILVASSA,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2204894,DNH & Daman & Diu,DNH & Daman & Diu,26AACCH0941E1Z1,26AACCH0941E1Z1,LCV-17 Ft.,DN09P9244
7300050912,11/08/2022,IN202222082,1012127,GULF OIL LUBRICANTS INDIA LIMITED,Silvasa,1012127,GULF OIL LUBRICANTS INDIA LIMITED,SILVASSA,133066836,SK 38/23 SFB <IHS 36/1*GULF* GOLD 1128,1330665,SK 38/23 SFB IHS,"10,800",6,0,SILVASSA,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2204894,DNH & Daman & Diu,DNH & Daman & Diu,26AACCH0941E1Z1,26AACCH0941E1Z1,LCV-17 Ft.,DN09P9244
7300050962,16/08/2022,IN202222130,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134053016,SK40/24 PV6<IHS *SUZUKI* BLUE 0180,1340591,SK 40/24 PV6 IHS CASTROL,"100,500",67,0,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0744,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,LCV-17 Ft.,MH14HU9558
7300050962,16/08/2022,IN202222130,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134059110,"SK40/24 PV6<IHS *CASTROL*M GREEN PKT3,6",1340591,SK 40/24 PV6 IHS CASTROL,"3,000",2,0,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0744,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,LCV-17 Ft.,MH14HU9558
7300050962,16/08/2022,IN202222130,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134059117,SK40/24 PV6<IHS *CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"100,500",67,0,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0744,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,LCV-17 Ft.,MH14HU9558
7300050962,16/08/2022,IN202222130,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134059118,SK40/24 PV6<IHS POWER1 RS20*CASTROL*RED,1340591,SK 40/24 PV6 IHS CASTROL,"34,500",23,0,Patalganga,IN,CIF,17587,N P TRANSPORT,NP0744,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,LCV-17 Ft.,MH14HU9558
7300051143,26/08/2022,IN202222289,1015369,BUNGE INDIA PVT LTD,Gandhidham,1015369,BUNGE INDIA PVT LTD,"BHACHAU, KUTCH",152220325,EV 21/20 MAG GREEN/ GREEN 0749 *BUNGE*,1520201,EV 21/20  MAG (7740),"376,200",99,0,"BHACHAU, KUTCH",IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2205835,Gujarat,Gujarat,24AAACG7034K1ZP,24AAACG7034K1ZP,Truck-19 Ft.,GJ03BW9144
7300051143,26/08/2022,IN202222289,1015369,BUNGE INDIA PVT LTD,Gandhidham,1015369,BUNGE INDIA PVT LTD,"BHACHAU, KUTCH",116310423,BERG SPOUT 42 ECCO< GREEN 0089 *BUNGE*,1163201,BERG SPOUT 42 ECO,"211,200",132,0,"BHACHAU, KUTCH",IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2205835,Gujarat,Gujarat,24AAACG7034K1ZP,24AAACG7034K1ZP,Truck-19 Ft.,GJ03BW9144
