Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300051215,01/09/2022,IN202222357,1009038,Bhawani Silicate Industries,Jaipur,1009038,Bhawani Silicate Industries,Jaipur,152220324,EV 21/20 MAG RED / RED 0036 *BUNGE*,1520201,EV 21/20  MAG (7740),"334,400",88,0.00,Jaipur,IN,CIF,17241,TCI Express Limited,TE64117476,Rajasthan,Rajasthan,08AABFB8373Q1ZT,08AABFB8373Q1ZT,LCL,MH11AL1734
7300051218,01/09/2022,IN202222360,9007770,Vardhman Plastochem,Daman,1014224,VARDHAMAN PLASTOCHEM PVT. LTD.,Daman,134210353,TSV 40 PV LS <NAT/SILVER AM3518,1342103,TSV 40-1 PV LONG SPOUT,"27,200",32,0.00,Daman,IN,CIF,97300171,V-Trans (India) Ltd.,VT20324695,DNH & Daman & Diu,DNH & Daman & Diu,26AAACV9843R1ZF,26AAACV9843R1ZF,LCL,MH12NX9846
7300051220,01/09/2022,IN202222362,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,97300086,Hindustan Coca Cola Bev. Pvt. Ltd.,Goblej,172600553,HEX.29/11SFB3T 120K0.4V22<BLU*KINLEY OCT,1726210,HEXALITE 29/11 7266 SFB 3T  120KN,"1,320,000",360,0.00,Goblej,IN,CIF,17587,N P TRANSPORT,NP0830,Gujarat,Gujarat,24AAACH3005M1ZX,24AAACH3005M1ZX,Container 20 Ft.,MH14HU9558
7300051221,01/09/2022,IN202222363,9007845,LSR SPECIALITY OILS PVT LTD,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",133066681,SK 38/23 SFB <IHS ELF  BLK * ELF RPL*(R),1330675,SK 38/23 SFB RPL 18 KN,"81,000",45,0.00,"Andheri (East),Mumbai",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2820,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,PICK UP,MH14DM1572
7300051222,01/09/2022,IN202222364,9007845,LSR SPECIALITY OILS PVT LTD,Navi Mumbai,1018452,TOTALENERGIES MARKETING INDIA PVT.,"Andheri (East),Mumbai",133066681,SK 38/23 SFB <IHS ELF  BLK * ELF RPL*(R),1330675,SK 38/23 SFB RPL 18 KN,"48,600",27,0.00,"Andheri (East),Mumbai",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2820,Maharashtra,Maharashtra,27AAACE2175M1ZH,27AAACE2175M1ZH,PICK UP,MH14DM1572
7300051223,01/09/2022,IN202222365,97300045,Cargill India Pvt Ltd.,Pune,97300045,Cargill India Pvt Ltd.,Pune,116310225,BERG SPOUT 42 <GREEN 0024 *CARGILL EMB*,1163101,"BERG SPOUT 42/4,1","35,200",22,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP0829,Maharashtra,Maharashtra,27AAACC3269J1ZK,27AAACC3269J1ZK,TATA LCV-709,MH14JL9558
7300051223,01/09/2022,IN202222365,97300045,Cargill India Pvt Ltd.,Pune,97300045,Cargill India Pvt Ltd.,Pune,116310243,BERG SPOUT 42 < CARGILL* YELLOW 273,1163101,"BERG SPOUT 42/4,1","100,800",63,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP0829,Maharashtra,Maharashtra,27AAACC3269J1ZK,27AAACC3269J1ZK,TATA LCV-709,MH14JL9558
7300051224,01/09/2022,IN202222366,97300045,Cargill India Pvt Ltd.,Pune,97300045,Cargill India Pvt Ltd.,Pune,116310225,BERG SPOUT 42 <GREEN 0024 *CARGILL EMB*,1163101,"BERG SPOUT 42/4,1","49,600",31,0.00,Pune,IN,CIF,17587,N P TRANSPORT,NP0829,Maharashtra,Maharashtra,27AAACC3269J1ZK,27AAACC3269J1ZK,TATA LCV-709,MH14JL9558
7300051225,01/09/2022,IN202222367,1019507,Hindustan Coca-Cola Beverages Pvt L,Siliguri,1019507,Hindustan Coca-Cola Beverages Pvt L,"Jalpaiguri, West Bengal",170401001,DS SUS 22/14 7040 SFB <BLU 7925*COCACOLA,1704001,DS SUS 22/14 7040 SFB,"5,304,000",624,0.00,"Jalpaiguri, West Bengal",IN,CIF,14046,Oms Logistics Private Limited,O65076,West Bengal,West Bengal,19AAACH3005M1ZO,19AAACH3005M1ZO,Container 32 Ft.,UP21BN0591
7300051227,02/09/2022,IN202222368,97300198,Tide Water Oil Company (India) Ltd.,Howrah,97300198,Tide Water Oil Company (India) Ltd.,Howrah,133061067,SK 38/23 PV <*VEED*RED RS.10* 20W40 0.9L,1330603,SK 38/23 PV IHS,"77,400",43,0.00,Howrah,IN,CIF,17241,TCI Express Limited,TE64117535,West Bengal,West Bengal,19AABCT1122C1ZY,19AABCT1122C1ZY,LCL,MH05K9983
7300051227,02/09/2022,IN202222368,97300198,Tide Water Oil Company (India) Ltd.,Howrah,97300198,Tide Water Oil Company (India) Ltd.,Howrah,133061068,SK 38/23 PV <*VEED* RED RS10* 20W40 1LTR,1330603,SK 38/23 PV IHS,"28,800",16,0.00,Howrah,IN,CIF,17241,TCI Express Limited,TE64117535,West Bengal,West Bengal,19AABCT1122C1ZY,19AABCT1122C1ZY,LCL,MH05K9983
7300051228,02/09/2022,IN202222369,97300198,Tide Water Oil Company (India) Ltd.,Howrah,97300198,Tide Water Oil Company (India) Ltd.,Howrah,133061025,SK 38/23 PV<*VEEDOL*IHS-Rs25 BLK 1ltr,1330603,SK 38/23 PV IHS,"5,400",3,0.00,Howrah,IN,CIF,17241,TCI Express Limited,TE64117535,West Bengal,West Bengal,19AABCT1122C1ZY,19AABCT1122C1ZY,LCL,MH05K9983
7300051228,02/09/2022,IN202222369,97300198,Tide Water Oil Company (India) Ltd.,Howrah,97300198,Tide Water Oil Company (India) Ltd.,Howrah,133060740,SK 38/23 PV <*VEEDOL*IHS-VEED WHT TWOCIL,1330603,SK 38/23 PV IHS,"9,000",5,0.00,Howrah,IN,CIF,17241,TCI Express Limited,TE64117535,West Bengal,West Bengal,19AABCT1122C1ZY,19AABCT1122C1ZY,LCL,MH05K9983
7300051230,02/09/2022,IN202222371,97310013,Ultra Plus Lubes Pvt. Ltd.,"Kamothe, Panvel",1010986,Valvoline Cummins Private Limited,Additional Ambernath,133066597,SK 38/23 SFB <VALVO IHS GREEN *VALVOLINE,1330665,SK 38/23 SFB IHS,"124,200",69,0.00,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0831,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACU6623Q1ZS,TATA LCV-709,MH11AL1766
7300051230,02/09/2022,IN202222371,97310013,Ultra Plus Lubes Pvt. Ltd.,"Kamothe, Panvel",1010986,Valvoline Cummins Private Limited,Additional Ambernath,133066700,SK 38/23 SFB <BLACK 4174 *VALVOLINE,1330665,SK 38/23 SFB IHS,"39,600",22,0.00,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0831,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACU6623Q1ZS,TATA LCV-709,MH11AL1766
7300051231,02/09/2022,IN202222372,1013463,Regent Enterprises Limited,HAPUR,1013463,Regent Enterprises Limited,Meerut,152430200,CTC 26/10 (4330)<RED 0036 V2 3020K,1524301,CTC  26/10  (4330),"90,000",9,0.00,Meerut,IN,CIF,17241,TCI Express Limited,TE64117550,Uttar Pradesh,Uttar Pradesh,09AABCC8928K1Z7,09AABCC8928K1Z7,LCL,MH05K9983
7300051232,02/09/2022,IN202222373,1017538,Parakh Foods & Oils Ltd,"Khalapaur,Khopoli",1017538,Parakh Foods & Oils Ltd,"Khalapur, RAIGAD",116310455,BERG SPOUT 42 ECCO<  ORANGE 8397*PARAKH*,1163201,BERG SPOUT 42 ECO,"94,400",59,0.00,"Khalapur, RAIGAD",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2821,Maharashtra,Maharashtra,27AABCP0313P1ZF,27AABCP0313P1ZF,Container 19 Ft.,MH14GD7385
7300051232,02/09/2022,IN202222373,1017538,Parakh Foods & Oils Ltd,"Khalapaur,Khopoli",1017538,Parakh Foods & Oils Ltd,"Khalapur, RAIGAD",116310456,BERG SPOUT 42 ECCO< GREEN 2966 *PARAKH*,1163201,BERG SPOUT 42 ECO,"100,800",63,0.00,"Khalapur, RAIGAD",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2821,Maharashtra,Maharashtra,27AABCP0313P1ZF,27AABCP0313P1ZF,Container 19 Ft.,MH14GD7385
7300051232,02/09/2022,IN202222373,1017538,Parakh Foods & Oils Ltd,"Khalapaur,Khopoli",1017538,Parakh Foods & Oils Ltd,"Khalapur, RAIGAD",116310446,BERG SPOUT 42 ECCO< YELLOW 0046 *PARAKH*,1163201,BERG SPOUT 42 ECO,"152,000",95,0.00,"Khalapur, RAIGAD",IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2821,Maharashtra,Maharashtra,27AABCP0313P1ZF,27AABCP0313P1ZF,Container 19 Ft.,MH14GD7385
7300051234,02/09/2022,IN202222375,1009125,Emami Agrotech Limited,Haldia,1009125,Emami Agrotech Limited,Haldia,152430206,CTC 26/10 (4330)<GREEN 0047 V2 3020K,1524301,CTC  26/10  (4330),"300,000",30,0.00,Haldia,IN,CIF,17241,TCI Express Limited,TE64117546,West Bengal,West Bengal,19AABCN7953M1ZS,19AABCN7953M1ZS,LCL,MH05K9983
7300051236,02/09/2022,IN202222377,97300200,Tide Water Oil Company (India) Ltd.,Silvasa,97300200,Tide Water Oil Company (India) Ltd.,Silvassa,133060730,SK 38/23 PV<*VEEDOL*IHS-VEED RED TWOCIL,1330603,SK 38/23 PV IHS,"3,600",2,0.00,Silvassa,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2206121,DNH & Daman & Diu,DNH & Daman & Diu,26AABCT1122C1Z3,26AABCT1122C1Z3,LCV-17 Ft.,DN09U9274
