Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300051686,01/10/2022,IN202222801,9003633,Westcoast Lubricants & Asphalts Pvt,Kalamboli,1007565,Castrol India Limited,Patalganga,134059123,SK40/24 PV6<IHS POWER1 CRBMin *CASTR*RED,1340591,SK 40/24 PV6 IHS CASTROL,"30,000",20,0.00,Patalganga,IN,CIF,16997,S.R.DABHADE TRANSPORT,SR2905,Maharashtra,Maharashtra,27AAACC4481E1ZV,27AAACW3334Q1ZW,PICK UP,MH14DM1572
7300051687,01/10/2022,IN202222802,1019291,Mahesh Edible Agro Oil Industry Pvt,Alwar,1019291,Mahesh Edible Agro Oil Industry Pvt,Alwar,152300450,CTC 29/13<RED 2048 (L.W.),1523003,CTC 29/13,"750,000",125,0.00,Alwar,IN,CIF,17241,TCI Express Limited,TE65328362,Rajasthan,Rajasthan,08AAECB2154P1ZF,08AAECB2154P1ZF,LCL,MH05K9983
7300051688,01/10/2022,IN202222803,1016184,VARUN BEVERAGES LTD.,Pathankot,1016184,VARUN BEVERAGES LTD.,Pathankot,172920181,DS 33/15 ACF ORANGE 1084 HP 350787*SLI,1729201,DS 33/15 SFB ACF (3303),"840,000",200,0.00,Pathankot,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2208080,Punjab,Punjab,03AAACV2678L2Z3,03AAACV2678L2Z3,Cont.-32 Ft.,HR45D4112
7300051688,01/10/2022,IN202222803,1016184,VARUN BEVERAGES LTD.,Pathankot,1016184,VARUN BEVERAGES LTD.,Pathankot,172920154,DS 33/15 ACF WHITE (1086) HP1279 *SLI,1729201,DS 33/15 SFB ACF (3303),"1,780,800",424,0.00,Pathankot,IN,CIF,14308,AbhiImpact Logistic Solutions P.Ltd,AB2208080,Punjab,Punjab,03AAACV2678L2Z3,03AAACV2678L2Z3,Cont.-32 Ft.,HR45D4112
7300051690,03/10/2022,IN202222805,1013930,GEMINI EDIBLES & FATS INDIA LTD,NELLORE,1013930,GEMINI EDIBLES & FATS INDIA LTD,"SRI POTTI SRI RAMULU, NELLORE",152220308,EV 21/20 MAG YELLOW / YELLOW 0041,1520201,EV 21/20  MAG (7740),"452,200",119,0.00,"SRI POTTI SRI RAMULU, NEL",IN,CIF,15980,J.K.Transport & Logistics Pvt. Ltd,JK67904,ANDHRA PRADESH,ANDHRA PRADESH,37AADCG5150F1ZT,37AADCG5150F1ZT,LCL,MH14GU0490
7300051691,03/10/2022,IN202222806,97310013,Ultra Plus Lubes Pvt. Ltd.,Kalamboli,1010986,Valvoline Cummins Private Limited,Additional Ambernath,134053214,SK 40/24 PV5<* VALVOL* BLK RS.50 AGRI 3L,1340590,SK 40/24 PV5 IHS,"27,000",18,0.00,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0935,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACU6623Q1ZS,LCV-17 Ft.,MH14EM8919
7300051691,03/10/2022,IN202222806,97310013,Ultra Plus Lubes Pvt. Ltd.,Kalamboli,1010986,Valvoline Cummins Private Limited,Additional Ambernath,133066700,SK 38/23 SFB <BLACK 4174 *VALVOLINE,1330665,SK 38/23 SFB IHS,"126,000",70,0.00,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0935,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACU6623Q1ZS,LCV-17 Ft.,MH14EM8919
7300051691,03/10/2022,IN202222806,97310013,Ultra Plus Lubes Pvt. Ltd.,Kalamboli,1010986,Valvoline Cummins Private Limited,Additional Ambernath,133066597,SK 38/23 SFB <VALVO IHS GREEN *VALVOLINE,1330665,SK 38/23 SFB IHS,"115,200",64,0.00,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0935,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACU6623Q1ZS,LCV-17 Ft.,MH14EM8919
7300051691,03/10/2022,IN202222806,97310013,Ultra Plus Lubes Pvt. Ltd.,Kalamboli,1010986,Valvoline Cummins Private Limited,Additional Ambernath,133066596,SK 38/23 SFB <VALVO IHS BLUE *VALVOLINE,1330665,SK 38/23 SFB IHS,"19,800",11,0.00,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0935,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACU6623Q1ZS,LCV-17 Ft.,MH14EM8919
7300051691,03/10/2022,IN202222806,97310013,Ultra Plus Lubes Pvt. Ltd.,Kalamboli,1010986,Valvoline Cummins Private Limited,Additional Ambernath,133066595,SK 38/23 SFB <VALVO IHS SIL39 *VALVOLINE,1330665,SK 38/23 SFB IHS,"14,400",8,0.00,Additional Ambernath,IN,CIF,17587,N P TRANSPORT,NP0935,Maharashtra,Maharashtra,27AAACW0287A1ZN,27AAACU6623Q1ZS,LCV-17 Ft.,MH14EM8919
