Billing Document,Billing Date,Reference,Ship-to party,Name of the ship-to party,Location of the ship-to party,Sold-to party,Sold-to party Name,Location of the sold-to party,Material,Description,Product hierarchy,Product Hierarchy Description,Billed Quantity,No of Boxes,Freight Aft .ST,City,Country Key,Incoterms,Vendor,Transporter Name,Lr. Number,State Ship-to party,State Sold-to party,GST number Sold to Party,GST number Ship to Party,Vehicle Name,Vehicle NO
7300051300,06/09/2022,IN202222437,9006016,Castrol India Ltd,Kolkata,1014398,Castrol India Limited,Kolkata,134059118,SK40/24 PV6<IHS POWER1 RS20*CASTROL*RED,1340591,SK 40/24 PV6 IHS CASTROL,"75,000",50,0,Kolkata,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL62668,West Bengal,West Bengal,19AAACC4481E1ZS,19AAACC4481E1ZS,Cont.-19 Ft.,MH11CH2034
7300051300,06/09/2022,IN202222437,9006016,Castrol India Ltd,Kolkata,1014398,Castrol India Limited,Kolkata,134059122,SK40/24 PV6<IHS RS 50 *CASTROL*RED POWE1,1340591,SK 40/24 PV6 IHS CASTROL,"3,000",2,0,Kolkata,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL62668,West Bengal,West Bengal,19AAACC4481E1ZS,19AAACC4481E1ZS,Cont.-19 Ft.,MH11CH2034
7300051300,06/09/2022,IN202222437,9006016,Castrol India Ltd,Kolkata,1014398,Castrol India Limited,Kolkata,134059123,SK40/24 PV6<IHS POWER1 CRBMin *CASTR*RED,1340591,SK 40/24 PV6 IHS CASTROL,"15,000",10,0,Kolkata,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL62668,West Bengal,West Bengal,19AAACC4481E1ZS,19AAACC4481E1ZS,Cont.-19 Ft.,MH11CH2034
7300051300,06/09/2022,IN202222437,9006016,Castrol India Ltd,Kolkata,1014398,Castrol India Limited,Kolkata,134059102,SK40/24 PV6<IHS-RS.10/-*CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"195,000",130,0,Kolkata,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL62668,West Bengal,West Bengal,19AAACC4481E1ZS,19AAACC4481E1ZS,Cont.-19 Ft.,MH11CH2034
7300051300,06/09/2022,IN202222437,9006016,Castrol India Ltd,Kolkata,1014398,Castrol India Limited,Kolkata,134059117,SK40/24 PV6<IHS *CASTROL*RED 3984,1340591,SK 40/24 PV6 IHS CASTROL,"72,000",48,0,Kolkata,IN,CIF,16512,TCI HI-WAYS PVT LTD,LL62668,West Bengal,West Bengal,19AAACC4481E1ZS,19AAACC4481E1ZS,Cont.-19 Ft.,MH11CH2034
7300051511,21/09/2022,IN202222631,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008607,DS 38/16 2T SFB HF<GREEN X6-920*,1730945,DS 38/16 2T SFB HF (3605),"126,000",42,0,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051511,21/09/2022,IN202222631,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008608,DS 38/16 2T SFB HF<ORANGE X4-0295 *,1730945,DS 38/16 2T SFB HF (3605),"156,000",52,0,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051512,21/09/2022,IN202222632,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008607,DS 38/16 2T SFB HF<GREEN X6-920*,1730945,DS 38/16 2T SFB HF (3605),"225,000",75,0,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051513,21/09/2022,IN202222633,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008606,DS 38/16 2T SFB HF<YELLOW 1085*,1730945,DS 38/16 2T SFB HF (3605),"312,000",104,0,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
7300051513,21/09/2022,IN202222633,97300150,Pushpam Foods & Beverages Pvt. Ltd.,Sahajpur,1016965,Ocean Drinks Private Limited,Mumbai,173008608,DS 38/16 2T SFB HF<ORANGE X4-0295 *,1730945,DS 38/16 2T SFB HF (3605),"123,000",41,0,Mumbai,IN,CIF,17587,N P TRANSPORT,NP0916,Maharashtra,Maharashtra,27AACCN6317Q1ZY,27AAECP5030A1ZZ,Cont.-20 Ft.,MH14HU9558
